Labnummer;weinig;gemiddeld;veel;Aantal records
1;15;7;7;29
2;11;9;7;27
5;;1;;1
6;;1;2;3
7;3;2;;5
8;2;3;1;6
13;32;3;1;36
15;38;14;2;54
17;15;2;;17
18;6;;;6
19;22;3;;25
20;5;4;1;10
21;47;9;2;58
23;9;6;2;17
24;14;3;;17
25;13;4;3;20
26;4;;;4
27;25;7;6;38
31;10;;2;12
33;11;3;1;15
34;26;17;2;45
36;23;6;3;32
37;13;1;;14
38;49;6;1;56
39;11;3;;14
41;48;5;;53
49;30;6;2;38
55;11;2;;13
56;31;9;2;42
57;31;8;5;44
59;9;5;;14
63;18;4;2;24
64;11;4;1;16
66;19;4;2;25
68;49;21;7;77
69;12;4;1;17
